ident,latitude,longitude
CO002,-29.85798056,-51.42884167
TCA54,-23.3522,-46.4082
UA006,-0.391888889,-67.10091111
EDSOS,-16.73694722,-48.97198333
PENTE,-18.96466667,-44.00016667
TCA75,-23.5062,-44.0104
TITMU,-24.05356667,-44.58031389
BVI07,2.842136111,-60.70161944
KP151,-22.69949722,-46.88684722
OPTAK,-29.45966667,-53.7015
GL168,-22.93135833,-43.38889444
BW002,-16.02388889,-52.59643611
ALMOS,-22.71858333,-43.48053333
ATIPU,-20.19513966,-45.33205568
EDSED,-21.76178333,-50.13439444
OTONI,2.666333333,-52.5005
SM019,-29.71405278,-53.63781389
ILKOK,-23.5828,-46.43729167
UTGEN,-16.07755278,-47.95862222
MUKOV,-8.838168333,-63.790695
GP011,-21.93001389,-48.55044444
GO038,-16.65698333,-49.17646667
PV381,-8.987666667,-63.88583333
DO012,-22.0985,-54.70566667
TISDI,-24.79011111,-50.45381944
ILTAX,-23.339275,-46.66751944
ML008,-21.9715,-49.9735
TE362,-5.336388889,-42.79475
AROPI,-6.311333333,-60.888
TORAX,-3.279322222,-54.09497222
KP172,-23.04194444,-47.08626389
CBO18,-9.359772222,-54.87288889
CP022,-21.63976389,-41.10473056
USVEV,-25.53694722,-49.3497
CP009,-21.62253333,-41.21555278
VALEV,-21.08643333,-53.08840833
OPREL,-7.206833333,-35.98566667
AMBET,-7.7595,-34.44566667
MOPNO,3.714053241,-45.70371883
CZ008,-7.516694444,-72.55178333
BODOP,-27.48148889,-48.49414167
BOLEM,-23.15808889,-45.93266389
EKINU,-18.588425,-44.90545278
TEREB,-30.219025,-51.602
AE001,-21.91233333,-49.20083333
FS004,-22.09168889,-40.92275833
CO003,-29.79991111,-50.77346389
BIXIG,-25.54631389,-49.58464167
PC003,-21.99096111,-46.69066111
MS019,-5.041947222,-37.28983889
PF012,-28.33852778,-52.59933056
TCAS2,-22.6134,-46.2968
ILNAM,-9.522,-72.18566667
LO134,-23.17383333,-51.30716667
DAKAT,-30.08383333,-51.41683333
POVDI,-30.64648056,-53.12226944
VJK12,-15.85305278,-47.84081111
PS022,-16.40394444,-39.316375
ELEFA,-13.1535,-39.10866667
ALGUD,-25.72557222,-49.11276667
OBGEL,-6.385,-39.4835
PRR05,-22.17216667,-51.43369444
MUMAG,-4.874513889,-42.18484722
OGPOR,-15.93455556,-48.13948333
MG104,-23.48509444,-52.06196944
NT381,-6.136388889,-35.1925
PO004,-26.39747222,-52.82716944
RF011,-7.986166667,-35.0755
VT078,-20.34115,-40.54849167
MIMUM,-6.52,-62.43133333
STN01,-23.49997431,-46.82595289
VUMEV,-22.88683333,-45.97733333
